MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NJ,753IRFC30,TAX FREE  7.53% SR. 103 A,      1120.00,      1124.99,      1124.99,      1124.99,      1124.99,                     1124.99,1, ,1,      1175.00,      1074.00
N,NJ,82IGT31,SEC RE NCD 8.20% SR.V,      1017.00,      1017.00,      1018.00,      1017.00,      1018.00,                   230043.00,226, ,4,      1156.05,      1003.00
N,NJ,943ECL28,SEC RED NCD 9.43% SR. VI,       999.50,       999.50,      1001.00,       999.50,      1001.00,                    89961.00,90, ,4,      1189.00,       884.00
N,NK,750IRFC35,TAX FREE7.50% SR.104 A,      1225.00,      1225.00,      1225.00,      1225.00,      1225.00,                   122500.00,100, ,1,      1269.99,      1132.10
N,NK,875AEL29,AEL 8.75% 2029 SR IV,      1039.00,      1018.00,      1037.00,      1018.00,      1037.00,                   213970.00,210, ,2,      1121.20,       994.00
N,NK,985ECL28,SEC RED NCD 9.85% SR. VII,      1060.55,      1061.00,      1063.00,      1061.00,      1063.00,                   651393.00,613, ,5,      1235.00,       878.00
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       996.70,       996.70,       999.90,       996.70,       999.90,                   306009.30,307, ,5,      1004.49,       889.00
N,NL,AEL120126,AEL 0% 2029 SR V,       951.00,       999.00,       999.00,       999.00,       999.00,                     9990.00,10, ,1,      1146.00,       940.00
N,NN,890AEL31,AEL 8.90% 2031 SR VII,      1041.91,      1031.00,      1040.90,      1030.00,      1036.88,                   847268.00,816, ,19,      1108.02,       994.00
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1129.04,      1131.11,      1134.00,      1130.00,      1133.91,                  2122381.65,1876, ,17,      1170.00,      1085.20
N,NP,SCLZC26E,SEC RE NCD SR VI,      1255.00,      1260.00,      1265.00,      1260.00,      1265.00,                    22730.00,18, ,2,      1265.00,      1005.20
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,      1019.01,      1026.00,      1026.00,      1026.00,      1026.00,                   148770.00,145, ,2,      1114.12,       985.11
N,NS,1060ECL29,SEC RED NCD 10.6% SR. VII,      1035.50,      1060.00,      1060.00,      1060.00,      1060.00,                    10600.00,10, ,1,      1340.00,       890.30
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       985.25,       991.83,       991.83,       990.99,       990.99,                    99100.68,100, ,3,      1003.98,       951.00
N,NW,850SCL25A,UNSE RE NCD 9.35% SR.X,       980.00,       981.00,       990.00,       981.00,       990.00,                   667953.00,678, ,7,       999.00,       832.20
N,NX,85IFL26,SEC RE NCD 8.5% SR.III,      1077.00,      1082.99,      1082.99,      1077.00,      1077.00,                    82127.54,76, ,3,      1229.00,       976.00
N,NZ,890SFIL23A,SEC RE NCD 10.03% SR.VIII,       422.00,       422.00,       422.00,       401.00,       401.00,                    17577.00,42, ,7,       905.00,       380.11
N,NZ,965SCL25F,SEC RE NCD 10.25% SR XII,       900.00,      1078.00,      1078.00,      1078.00,      1078.00,                     3234.00,3, ,1,      1101.00,       750.40
N,Y1,IIFLZC28B,SEC RE NCD 0% SR.VII,      1270.99,      1223.50,      1223.50,      1223.50,      1223.50,                     1223.50,1, ,1,      1270.99,      1090.00
N,Y4,837IIFL28,IIFL 8.37% TR I SR I,      1000.00,       975.00,       995.00,       975.00,       980.51,                   152186.20,155, ,5,      1050.00,       953.00
N,Y6,865IIFL31,IIFL 8.65% TR I SR III,       999.90,       987.00,       987.00,       985.00,       985.00,                   147950.00,150, ,2,      1003.00,       951.00
N,Y8,885IIFL29,IIFL 8.85% TR I SR V,      1019.00,      1004.00,      1004.00,      1004.00,      1004.00,                    25100.00,25, ,1,      1020.00,       980.00
N,Y8,948SCL26B,SEC RE NCD 9.48% SR V,       950.20,       990.00,       990.00,       990.00,       990.00,                     2970.00,3, ,1,       990.00,       925.20
N,Y9,9IIFL31,IIFL 9.00% TR I SR VI,      1012.00,      1009.00,      1009.00,      1009.00,      1009.00,                    50450.00,50, ,1,      1078.00,       931.59
N,YI,903SFL28,SEC RED NCD 9.03% SR. II,      1044.00,      1040.00,      1045.00,      1040.00,      1045.00,                    57450.00,55, ,2,      1089.99,      1020.30
N,YL,94SFL28,SEC RED NCD 9.40% SR. V,      1125.00,      1060.00,      1118.00,      1060.00,      1116.50,                   630265.00,580, ,7,      1270.00,      1023.00
N,YM,835SCL23B,SEC RE NCD 10.25% SR XII,       960.30,      1014.58,      1014.58,      1014.58,      1014.58,                    20291.60,20, ,1,      1081.44,       900.00
N,YP,930SFL28,SEC RED NCD 9.30% SR. II,      1035.00,      1035.00,      1044.90,      1035.00,      1044.90,                  1087245.00,1050, ,5,      1190.00,       898.20
N,YT,889SCL27,SEC RE NCD 8.89% SR.VIII,       999.90,       999.90,       999.90,       999.90,       999.90,                    40995.90,41, ,5,      1142.00,       910.50
N,YW,0SCL27,SEC RE NCD SR VI,      1191.50,      1217.37,      1217.37,      1217.37,      1217.37,                   288516.69,237, ,8,      1217.37,      1088.70
N,YW,957ICCL25,SEC RED NCD 9.30% SR. II,      1065.00,      1060.00,      1060.00,      1060.00,      1060.00,                   173840.00,164, ,4,      1148.00,      1025.00
N,YZ,97SFL29,SEC RED NCD 9.70% SR. V,      1068.00,      1068.00,      1068.00,      1067.50,      1067.50,                   193283.00,181, ,2,      1185.00,      1008.00
N,Z0,971SCL29,SEC RE NCD 9.71% SR VIII,       980.00,       999.15,       999.15,       999.15,       999.15,                   147874.20,148, ,3,      1000.00,       900.00
N,Z6,1075SCFL34,SEC RE NCD 10.75% SR XI,      1019.08,      1019.08,      1019.08,      1000.20,      1002.50,                   288721.72,288, ,17,      1111.11,       951.00
N,ZC,SFLZC26A,SEC RED NCD SR.X,      1870.00,      1850.00,      1850.00,      1850.00,      1850.00,                    18500.00,10, ,1,      1872.99,      1609.00
N,ZH,99SCL27,SEC RE NCD 9.9% SR IV,       991.00,       997.53,       997.53,       997.53,       997.53,                   124691.25,125, ,1,      1082.20,       940.30
N,ZI,91SFL27,SEC RED NCD 9.10% SR.VI,      1049.80,      1049.80,      1049.80,      1020.00,      1020.00,                   220160.00,210, ,2,      1096.97,       993.10
