MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,ONYX,ONYX BIOTEC LIMITED,        43.00,        42.05,        42.05,        42.00,        42.00,                   252100.00,6000, ,        56.00,        24.20
N,SM,OPTIVALUE,OPTIVALUE TEK CONSULT LTD,        82.50,        81.55,        81.55,        79.00,        79.60,                  2820880.00,35200, ,       107.55,        56.05
N,SM,ORIANA,ORIANA POWER LIMITED,      1707.60,      1716.20,      1717.00,      1680.10,      1686.40,                 80634956.25,47550, ,      3064.00,      1500.00
N,SM,OSELDEVICE,OSEL DEVICES LIMITED,       485.90,       497.00,       504.00,       481.20,       484.25,                  9597020.00,19400, ,       835.00,       252.30
N,SM,OWAIS,OWAIS METAL & MINERAL,       107.10,       107.10,       110.00,       101.75,       101.75,                 12976985.00,126700, ,       707.90,        88.10
N,SM,PSRAJ,P S RAJ STEELS LIMITED,       404.50,       400.00,       400.00,       400.00,       400.00,                   200000.00,500, ,       413.45,       138.00
N,SM,PROPEQUITY,P. E. ANALYTICS LIMITED,       220.00,       205.20,       205.80,       197.55,       199.40,                  3274290.00,16200, ,       268.00,       145.00
N,SM,PARAGON,PARAGON FINE S.C. LTD.,        49.75,        49.20,        49.20,        49.20,        49.20,                    59040.00,1200, ,        71.00,        34.10
N,SM,PARAMATRIX,PARAMATRIX TECHNOLOGIES L,        63.75,        63.75,        63.75,        62.00,        62.00,                   530520.00,8400, ,       106.00,        56.50
N,ST,PARAMOUNT,PARAMOUNT DYE TEC LIMITED,        40.25,        42.25,        42.25,        42.25,        42.25,                   152100.00,3600, ,        73.90,        33.50
N,SM,PSFL,PARAMOUNT SPECIALI FORG L,        29.05,        29.05,        29.05,        29.05,        29.05,                    58100.00,2000, ,        48.00,        21.15
N,SM,PARIN,PARIN ENTERPRISES LIMITED,       696.80,       711.00,       711.00,       590.00,       695.40,                 23545187.50,34250, ,       734.60,       311.65
N,ST,PARTH,PARTH ELEC & ENG LTD,       440.65,       445.00,       445.00,       436.10,       440.00,                  1768420.00,4000, ,       484.00,       169.00
N,SM,PARTYCRUS,PARTY CRUISERS LIMITED,        96.00,        97.00,       100.00,        97.00,       100.00,                   690000.00,7000, ,       113.85,        63.05
N,ST,PATILAUTOM,PATIL AUTOMATION LIMITED,       189.50,       183.10,       198.00,       183.10,       190.00,                 10650960.00,55800, ,       268.90,       112.05
N,SM,PELATRO,PELATRO LIMITED,       263.10,       262.00,       268.00,       260.00,       260.25,                   549150.00,2100, ,       461.00,       253.60
N,SM,PCCL,PETRO CARBON AND CHEMI L,       298.00,       285.20,       295.00,       285.20,       294.95,                  3886120.00,13200, ,       312.00,       166.30
N,SM,PHANTOMFX,PHANTOM DIGITAL EFF LTD,       177.90,       178.20,       180.45,       175.00,       177.35,                 10751775.00,60300, ,       327.95,       156.00
N,SM,PHOGLOBAL,PHOENIX OVERSEAS LIMITED,        17.65,        17.75,        17.75,        17.75,        17.75,                    35500.00,2000, ,        26.00,        15.25
N,ST,PPSL,PICTUREPOST STUDIOS LTD,         6.35,         6.20,         6.20,         6.05,         6.05,                   473250.00,78000, ,        29.00,         5.05
N,SM,PLADAINFO,PLADA INFOTECH SERVICES L,        11.55,        11.00,        12.05,        11.00,        12.05,                   103800.00,9000, ,        27.75,         9.10
N,ST,POLYSIL,POLYSIL IRRIGATION SYST L,       146.00,       148.00,       153.30,       147.90,       150.00,                 26521450.00,173500, ,       356.75,        49.90
N,ST,POSITRON,POSITRON ENERGY LIMITED,       194.80,       194.00,       194.00,       194.00,       194.00,                   232800.00,1200, ,       395.00,       105.90
N,SM,PRAMARA,PRAMARA PROMOTIONS LTD,       143.05,       150.20,       150.20,       138.00,       150.20,                 49340175.00,332000, ,       374.80,       117.65
N,SM,PRANIK,PRANIK LOGISTICS LIMITED,        49.20,        50.70,        51.00,        50.70,        51.00,                   162720.00,3200, ,        92.90,        37.00
N,SM,PRATHAM,PRATHAM EPC PROJECTS LTD,       125.00,       124.00,       125.05,       120.00,       120.25,                  2382080.00,19600, ,       196.00,       102.55
N,SM,PRECISION,PRECISION METALIKS LTD,         7.65,         7.60,         7.95,         7.55,         7.55,                   138600.00,18000, ,        28.40,         6.75
N,SM,PRLIND,PREMIER ROADLINES LIMITED,        47.75,        47.75,        47.95,        45.15,        45.60,                  1724900.00,37000, ,       107.90,        44.80
N,SM,PREMIUM,PREMIUM PLAST LIMITED,        36.30,        36.55,        36.55,        36.55,        36.55,                   109650.00,3000, ,        44.25,        29.80
N,SM,PRESSTONIC,PRESSTONIC ENGINEERING L,        32.55,        32.15,        33.00,        31.35,        31.55,                   794120.00,24800, ,       112.90,        28.20
N,ST,PRIMECAB,PRIME CABLE INDUSTRIES L,       117.45,       117.45,       123.00,       115.00,       115.00,                  2089680.00,17600, ,       136.70,        70.40
N,SM,PRITIKA,PRITIKA ENG COMPO LTD,        63.90,        64.55,        64.55,        64.55,        64.55,                   129100.00,2000, ,        95.25,        44.05
N,ST,PRIZOR,PRIZOR VIZTECH LIMITED,       742.50,       745.05,       779.60,       740.00,       779.60,                 29632420.00,38400, ,       797.30,       177.00
N,SM,PROFX,PRO FX TECH LIMITED,        85.65,        85.65,        86.00,        85.65,        86.00,                   274640.00,3200, ,       136.90,        56.00
N,SM,PROV,PROVENTUS AGROCOM LIMITED,      1563.00,      1551.00,      1551.00,      1551.00,      1551.00,                   124080.00,80, ,      1679.95,       815.10
N,SM,PULZ,PULZ ELECTRONICS LIMITED,        23.95,        24.75,        24.75,        24.00,        24.35,                   194800.00,8000, ,        54.50,        21.95
N,SM,PURPLEUTED,PURPLE UNITED SALES LTD,       377.00,       395.85,       395.85,       389.00,       395.85,                 20055862.50,50750, ,       587.95,       244.45
N,ST,PURVFLEXI,PURV FLEXIPACK LIMITED,        49.50,        51.25,        51.25,        51.25,        51.25,                    41000.00,800, ,       124.95,        37.00
N,SM,PUSHPA,PUSHPA JEWELLERS LIMITED,       116.25,       121.00,       122.00,       117.55,       120.00,                   964950.00,8000, ,       148.75,        81.15
N,ST,QLINE,Q-LINE BIOTECH LIMITED,       471.30,       470.00,       494.85,       465.55,       494.85,                109765340.00,224800, ,       494.85,       431.00
N,SM,QMSMEDI,QMS MEDICAL ALLIED S LTD,        87.80,        91.85,        94.00,        91.50,        92.50,                  2320150.00,25000, ,       110.50,        68.95
N,SM,QUADPRO,QUADPRO ITES LIMITED,         2.10,         2.20,         2.20,         2.20,         2.20,                    26400.00,12000, ,         4.65,         1.85
N,SM,QUESTLAB,QUEST LABORATORIES LTD,       102.05,       102.00,       103.95,       101.25,       102.00,                  2089560.00,20400, ,       152.60,        80.00
N,SM,QUICKTOUCH,QUICKTOUCH TECHNOLOGIES L,        24.30,        25.50,        25.50,        24.60,        25.05,                    88350.00,3500, ,        70.20,        24.15
N,SM,QVCEL,QVC EXPORTS LIMITED,        23.85,        22.95,        22.95,        22.95,        22.95,                    36720.00,1600, ,        35.30,        21.80
N,SM,RILINFRA,RACHANA INFRA LTD,        36.85,        37.00,        39.25,        36.00,        37.75,                   726875.00,19200, ,        53.90,        27.60
N,ST,RTL,RAMA TELECOM LIMITED,        83.40,        80.10,        83.50,        80.10,        83.50,                 21514900.00,258000, ,       100.90,        54.00
N,ST,RBS,RAMDEVBABA SOLVENT LTD,        88.75,        89.00,        93.15,        89.00,        93.15,                  1308800.00,14400, ,       143.00,        58.80
N,SM,RAPIDFLEET,RAPID FLEET MGT SERVICE L,       185.00,       189.00,       189.00,       189.00,       189.00,                   113400.00,600, ,       229.00,       158.00
N,SM,RAPPID,RAPPID VALVES (INDIA) LTD,       216.20,       216.20,       220.00,       211.00,       218.00,                  2321970.00,10800, ,       384.90,       207.00
N,SM,RBMINFRA,RBM INFRACON LIMITED,       314.35,       318.00,       337.00,       318.00,       332.00,                 16649240.00,50200, ,       524.80,       265.00
N,SM,READYMIX,READYMIX CONSTRU MACHI L,        78.00,        75.50,        79.90,        75.20,        76.15,                  1136800.00,15000, ,       175.00,        68.80
N,SM,REFRACTORY,REFRACTORY SHAPES LIMITED,        31.90,        31.00,        33.25,        30.35,        32.50,                   418100.00,13000, ,        68.90,        28.65
N,SM,REMUS,REMUS PHARMACEUTICALS L,       711.75,       720.00,       722.00,       703.05,       703.20,                  1276580.00,1800, ,      2040.00,       580.00
N,SM,RNPL,RENOL POLYCHEM LIMITED,        83.05,        87.20,        87.20,        86.90,        87.20,                  2510280.00,28800, ,       158.00,        69.00
N,SM,REXPRO,REXPRO ENTERPRISES LTD,        39.00,        38.25,        40.75,        38.25,        40.50,                   119500.00,3000, ,        96.65,        38.00
N,SM,RFBL,RFBL FLEXI PACK LIMITED,        69.30,        70.35,        71.90,        70.25,        70.25,                  5299650.00,75000, ,        72.00,        52.50
N,SM,RICHA,RICHA INFO SYSTEMS LTD,        90.15,        92.00,        93.00,        92.00,        93.00,                   830000.00,9000, ,        93.00,        50.00
