SYMBOL,SERIES,SECURITY,HIGH/LOW
RELINFRA,BE,RELIANCE INFRASTRUCTU LTD,H
RNPL,SM,RENOL POLYCHEM LIMITED,H
ROLLT,BE,ROLLATAINERS LIMITED,H
RSWM,EQ,RSWM LIMITED,H
SAIFL,SM,SAMEERA AGRO AND INFRA L,H
SAKUMA,BE,SAKUMA EXPORTS LIMITED,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SATIPOLY,SM,SATI POLY PLAST LIMITED,H
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,H
SHEEL,SM,SHEEL BIOTECH LIMITED,H
SHRENIK,BZ,SHRENIK LIMITED,H
SHUBHLAXMI,SM,SHUBHLAXMI JEWEL ART LTD,H
SICALLOG,BE,SICAL LOGISTICS LIMITED,H
SILKFLEX,ST,SILKFLEX POLYMERS INDIA L,H
SITINET,BZ,SITI NETWORKS LIMITED,H
SUPREMEENG,BZ,SUPREME ENGINEERING LTD,H
TANKUP,ST,TANKUP ENGINEERS LIMITED,H
TARAPUR,EQ,TARAPUR TRANSFORMERS LTD,H
UFBL,EQ,UNITED FOODBRANDS LIMITED,H
UMESLTD,BE,USHA MARTIN EDU & SOL LTD,H
UNIHEALTH,ST,UNIHEALTH HOSPITALS LTD,H
USK,EQ,UDAYSHIVAKUMAR INFRA LTD,H
VENUSREM,EQ,VENUS REMEDIES LIMITED,H
VHLTD,BE,VICEROY HOTELS LIMITED,H
VIGOR,SM,VIGOR PLAST INDIA LIMITED,H
VIJIFIN,BE,VIJI FINANCE LIMITED,H
VIVIDEL,ST,VIVID ELECTROMECH LIMITED,H
VSCL,SM,VADIVARHE SPCLTY CHEM LTD,H
WINSOME,BZ,WINSOME YARNS LIMITED,H
YCCL,SM,YASONS CHEMEX CARE LTD,H
ZEEMEDIA,EQ,ZEE MEDIA CORPORATION LTD,H
AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,L
ABSMARINE,ST,ABS MARINE SERVICES LTD,L
