MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,GSEC10YEAR,MIRAEAMC - MAGS813ETF,        29.61,        29.68,        29.94,        29.58,        29.80,                 83498083.15,2804185,97,        30.80,        28.37,MIRAE ASSET NIFTY 8-13 YR G-SEC ETF
N,EQ,GSEC5IETF,ICICIPRAMC - ICICI5GSEC,        64.66,        64.96,        64.96,        64.46,        64.82,                   180967.73,2798,36,        66.70,        62.00,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,HDFCBSE500,HDFCAMC - HDFCBSE500,        36.10,        37.00,        37.00,        35.87,        36.08,                 10413482.17,289336,2072,        39.55,        32.65,HDFC S&P BSE 500 ETF
N,EQ,HDFCGOLD,HDFC GOLD ETF,       132.71,       132.51,       132.90,       131.33,       132.01,                610049906.55,4624217,12433,       152.30,        81.19,GOLD
N,EQ,HDFCGROWTH,HDFCAMC - HDFCGROWTH,       112.09,       112.81,       113.16,       111.81,       112.37,                   642137.33,5717,173,       133.30,       107.86,HDFC NIFTY GROWTH SECTORS 15 ETF
N,EQ,HDFCLIQUID,HDFCAMC - HDFCLIQUID,      1063.38,      1063.86,      1063.86,      1063.81,      1063.82,                 17159554.60,16130,39,      1072.72,      1009.91,HDFC NIFTY 1D RATE LIQUID ETF
N,EQ,HDFCLOWVOL,HDFCAMC - HDFCLOWVOL,        19.80,        19.77,        19.87,        19.72,        19.80,                    44697.55,2256,63,        23.00,        18.35,HDFC NIFTY100 LOW VOLATILITY 30 ETF
N,EQ,HDFCMID150,HDFCAMC - HDFCMID150,        22.55,        23.00,        23.00,        22.40,        22.52,                  7032239.70,310562,1487,        23.61,        19.42,HDFC NIFTY MIDCAP 150 ETF
N,EQ,HDFCMOMENT,HDFCAMC - HDFCMOMENT,        30.24,        30.36,        30.60,        30.17,        30.38,                  2218664.00,72990,653,        33.23,        27.13,HDFC NIFTY200 MOMENTUM 30 ETF
N,EQ,HDFCNEXT50,HDFCAMC - HDFCNEXT50,        71.41,        71.67,        72.03,        71.08,        71.75,                  5927559.87,82813,810,        75.04,        59.99,HDFC NIFTY NEXT 50 ETF
N,EQ,HDFCNIF100,HDFCAMC - HDFCNIF100,        25.15,        25.15,        25.32,        25.08,        25.18,                  1779639.34,70579,297,        29.00,        22.00,HDFC NIFTY 100 ETF
N,EQ,HDFCNIFBAN,HDFCAMC - HDFCNIFBAN,        55.78,        56.02,        56.31,        55.61,        55.98,                 29142457.48,520003,822,        65.54,        51.20,NIFTY BANK
N,EQ,HDFCNIFIT,HDFCAMC - HDFCNIFIT,        31.24,        31.59,        31.59,        30.90,        30.98,                  3174837.93,101963,432,        42.70,        28.20,HDFC NIFTY IT ETF
N,EQ,HDFCNIFTY,HDFCAMC - HDFCNIFTY,       263.03,       263.03,       265.03,       261.64,       262.31,                 25392837.32,96739,1484,       301.88,       247.56,NIFTY 50
N,EQ,HDFCPSUBK,HDFCAMC HDFCPSUBK,        83.35,        83.35,        84.66,        83.09,        83.88,                  2179052.57,25915,262,       101.25,        67.53,HDFC NIFTY PSU BANK ETF
